time,cycle,cx_raw,cy_raw,cx_filtered,cy_filtered,heading_raw,heading_filtered,front_x,front_y,back_x,back_y,dt_ms,cost
2026-05-13T20:10:42.288132,1,2.5155,2.4906,2.5155,2.4906,-108.92,-108.92,2.4912,2.4197,2.5398,2.5616,155.6,0.003205
2026-05-13T20:10:42.467675,2,2.4979,2.4793,2.5094,2.4867,-115.74,-110.63,2.4653,2.4118,2.5305,2.5469,91.2,0.008263
2026-05-13T20:10:43.354822,3,2.4945,2.4840,2.5041,2.4857,-95.71,-106.90,2.4870,2.4094,2.5019,2.5586,192.5,0.000945
2026-05-13T20:10:44.314511,4,2.5013,2.4771,2.5032,2.4827,-110.60,-107.82,2.4749,2.4069,2.5277,2.5473,30.8,0.002913
2026-05-13T20:10:45.176386,5,2.5292,2.4979,2.5123,2.4880,-115.54,-109.75,2.4969,2.4302,2.5616,2.5655,84.8,0.003933
2026-05-13T20:10:45.435029,6,2.4728,2.5357,2.4985,2.5047,-79.95,-102.30,2.4858,2.4618,2.4597,2.6095,49.8,0.055490
2026-05-13T20:10:46.052724,7,2.5139,2.4784,2.5038,2.4955,-125.30,-108.05,2.4705,2.4171,2.5572,2.5396,321.9,0.001485
2026-05-13T20:10:47.366487,8,2.5265,2.4920,2.5118,2.4942,-108.94,-108.28,2.5021,2.4210,2.5508,2.5629,68.5,0.010007
2026-05-13T20:10:48.020072,9,2.4961,2.4963,2.5063,2.4950,-100.69,-106.38,2.4821,2.4226,2.5100,2.5700,41.4,0.001841
2026-05-13T20:10:50.499872,10,2.4944,2.4980,2.5021,2.4960,-68.38,-96.88,2.5221,2.4282,2.4668,2.5677,41.7,0.000394
2026-05-13T20:10:50.737216,11,2.5047,2.4877,2.5030,2.4931,-117.76,-102.10,2.4697,2.4213,2.5396,2.5540,170.7,0.002834
2026-05-13T20:10:51.188584,12,2.4913,2.5091,2.4989,2.4987,-97.69,-101.00,2.4813,2.4347,2.5013,2.5834,11.4,0.000219
2026-05-13T20:10:51.402133,13,2.4922,2.4568,2.4966,2.4840,-105.97,-102.24,2.4716,2.3847,2.5128,2.5289,3.2,0.001192
2026-05-13T20:10:52.048866,14,2.4973,2.4899,2.4968,2.4861,-125.66,-108.09,2.4536,2.4290,2.5410,2.5508,482.4,0.001582
2026-05-13T20:10:52.239916,15,2.5120,2.5017,2.5021,2.4915,-111.58,-108.97,2.4844,2.4319,2.5396,2.5714,79.1,0.003217
2026-05-13T20:10:52.319428,16,2.5115,2.4874,2.5054,2.4901,-85.38,-103.07,2.5176,2.4127,2.5055,2.5622,8.4,0.002228
2026-05-13T20:10:52.678066,17,2.4691,2.5305,2.4927,2.5042,-61.88,-92.77,2.5045,2.4643,2.4338,2.5966,80.4,0.034335
2026-05-13T20:10:52.883263,18,2.4702,2.5018,2.4848,2.5034,-84.15,-90.62,2.4778,2.4272,2.4625,2.5764,19.2,0.001352
2026-05-13T20:10:53.492841,19,2.4891,2.5175,2.4863,2.5083,-107.32,-94.79,2.4668,2.4459,2.5115,2.5891,235.3,0.001051
2026-05-13T20:10:54.598127,20,2.5101,2.4892,2.4947,2.5016,-113.73,-99.53,2.4799,2.4205,2.5403,2.5578,307.4,0.002762
2026-05-13T20:10:54.893722,21,2.5589,2.4595,2.5172,2.4869,-165.98,-116.14,2.4862,2.4413,2.6317,2.4777,107.7,0.013995
2026-05-13T20:10:55.204590,22,2.5262,2.4945,2.5203,2.4895,-106.52,-113.73,2.5049,2.4226,2.5476,2.5664,137.4,0.002374
2026-05-13T20:10:55.767247,23,2.5093,2.4758,2.5165,2.4847,-128.69,-117.47,2.4624,2.4173,2.5562,2.5344,114.9,0.011503
2026-05-13T20:10:56.192059,24,2.4947,2.5118,2.5089,2.4942,-100.78,-113.30,2.4807,2.4381,2.5088,2.5854,36.0,0.002248
2026-05-13T20:10:56.387945,25,2.5291,2.4615,2.5160,2.4828,-144.27,-121.04,2.4682,2.4177,2.5900,2.5053,89.9,0.004403
2026-05-13T20:10:57.106189,26,2.5152,2.4686,2.5157,2.4778,-137.25,-125.09,2.4602,2.4177,2.5703,2.5195,35.7,0.007301
