=== SERIAL MONITOR START port=COM5 baud=115200 time=2026-05-20T19:39:23.9054009+09:00 ===
[19:39:25.132] ??x?????x?c??????x?c?_???x?c?x?g?\?????o???x?c???zo???g???Y?????????????????Y??Y???c???x?????h???x?x?o?o?????????x?????^????????o???z?o????????????/????c?x???????????z?x???????x?g???x???Y???X??????????^?g???x???????h??c?????????????o???????????????????????x?g?a?X????c?????x?x?o???x?g???h?Y?Y????poll_receive_fail
[19:39:25.280] 0
[19:39:25.283] poll_receive_fail
[19:39:25.284] 0
[19:39:25.285] poll_receive_fail
[19:39:25.286] 0
[19:39:25.286] poll_receive_fail
[19:39:25.287] 0
[19:39:25.288] poll_receive_fail
[19:39:25.290] 0
[19:39:25.290] range_confirm_sent
[19:39:25.291] 1
[19:39:25.291] poll_receive_fail
[19:39:25.292] 0
[19:39:25.293] poll_receive_fail
[19:39:25.293] 0
[19:39:25.294] poll_receive_fail
[19:39:25.294] 0
[19:39:25.295] poll_receive_fail
[19:39:25.295] 0
[19:39:25.295] poll_receive_fail
[19:39:25.297] 0
[19:39:25.297] poll_receive_fail
[19:39:25.297] 0
[19:39:25.298] range_confirm_sent
[19:39:25.299] 1
[19:39:25.299] poll_receive_fail
[19:39:25.300] 0
[19:39:25.300] poll_receive_fail
[19:39:25.301] 0
[19:39:25.301] poll_receive_fail
[19:39:25.302] 0
[19:39:25.302] poll_receive_fail
[19:39:25.303] 0
[19:39:25.303] poll_receive_fail
[19:39:25.304] 0
[19:39:25.304] poll_receive_fail
[19:39:25.305] 0
[19:39:25.305] final_receive_fail
[19:39:25.306] 0
[19:39:25.307] poll_receive_fail
[19:39:25.308] 0
[19:39:25.308] poll_receive_fail
[19:39:25.309] 0
[19:39:25.309] poll_receive_fail
[19:39:25.310] 0
[19:39:25.310] poll_receive_fail
[19:39:25.311] 0
[19:39:25.312] poll_receive_fail
[19:39:25.312] 0
[19:39:25.312] poll_receive_fail
[19:39:25.313] 0
[19:39:25.313] final_receive_fail
[19:39:25.314] 0
[19:39:25.314] poll_receive_fail
[19:39:25.317] 0
[19:39:25.318] poll_receive_fail
[19:39:25.318] 0
[19:39:25.319] poll_receive_fail
[19:39:25.320] 0
[19:39:25.321] poll_receive_fail
[19:39:25.322] 0
[19:39:25.323] poll_receive_fail
[19:39:25.323] 0
[19:39:25.324] poll_receive_fail
[19:39:25.325] 0
[19:39:25.325] range_confirm_sent
[19:39:25.326] 1
[19:39:25.326] poll_receive_fail
[19:39:25.327] 0
[19:39:25.327] poll_receive_fail
[19:39:25.330] 0
[19:39:25.331] poll_receive_fail
[19:39:25.331] 0
[19:39:25.332] poll_receive_fail
[19:39:25.333] 0
[19:39:25.333] poll_receive_fail
[19:39:25.334] 0
[19:39:25.334] poll_receive_fail
[19:39:25.335] 0
[19:39:25.336] range_confirm_sent
[19:39:25.336] 1
[19:39:25.337] poll_receive_fail
[19:39:25.337] 0
[19:39:25.338] poll_receive_fail
[19:39:25.338] 0
[19:39:25.339] poll_receive_fail
[19:39:25.339] 0
[19:39:25.340] poll_receive_fail
[19:39:25.341] 0
[19:39:25.343] poll_receive_fail
[19:39:25.343] 0
[19:39:25.344] poll_receive_fail
[19:39:25.344] 0
[19:39:25.345] final_receive_fail
[19:39:25.346] 0
[19:39:25.346] poll_receive_fail
[19:39:25.347] 0
[19:39:25.349] poll_receive_fail
[19:39:25.351] 0
[19:39:25.352] poll_receive_fail
[19:39:25.353] 0
[19:39:25.353] poll_receive_fail
[19:39:25.354] 0
[19:39:25.355] poll_receive_fail
[19:39:25.358] 0
[19:39:25.379] poll_receive_fail
[19:39:25.380] 0
[19:39:25.384] range_confirm_sent
[19:39:25.390] 1
[19:39:25.393] poll_receive_fail
[19:39:25.394] 0
[19:39:25.395] poll_receive_fail
[19:39:25.395] 0
[19:39:25.396] poll_receive_fail
[19:39:25.396] 0
[19:39:25.397] poll_receive_fail
[19:39:25.397] 0
[19:39:25.398] poll_receive_fail
[19:39:25.398] 0
[19:39:25.400] poll_receive_fail
[19:39:25.401] 0
[19:39:25.401] range_confirm_sent
[19:39:25.402] 1
[19:39:25.402] poll_receive_fail
[19:39:25.403] 0
[19:39:25.403] poll_receive_fail
[19:39:25.404] 0
[19:39:25.404] poll_receive_fail
[19:39:25.405] 0
[19:39:25.405] poll_receive_fail
[19:39:25.406] 0
[19:39:25.407] poll_receive_fail
[19:39:25.407] 0
[19:39:25.408] poll_receive_fail
[19:39:25.408] 0
[19:39:25.408] final_receive_fail
[19:39:25.409] 0
[19:39:25.409] poll_receive_fail
[19:39:25.410] 0
[19:39:25.418] poll_receive_fail
[19:39:25.419] 0
[19:39:25.426] poll_receive_fail
[19:39:25.427] 0
[19:39:25.430] poll_receive_fail
[19:39:25.430] 0
[19:39:25.439] poll_receive_fail
[19:39:25.440] 0
[19:39:25.448] poll_receive_fail
[19:39:25.450] 0
[19:39:25.461] final_receive_fail
[19:39:25.462] 0
[19:39:25.470] poll_receive_fail
[19:39:25.472] 0
[19:39:25.479] poll_receive_fail
[19:39:25.480] 0
[19:39:25.487] poll_receive_fail
[19:39:25.488] 0
[19:39:25.494] poll_receive_fail
[19:39:25.495] 0
[19:39:25.503] poll_receive_fail
[19:39:25.504] 0
[19:39:25.515] final_receive_fail
[19:39:25.517] 0
[19:39:25.524] poll_receive_fail
[19:39:25.525] 0
[19:39:25.533] poll_receive_fail
[19:39:25.534] 0
[19:39:25.542] poll_receive_fail
[19:39:25.543] 0
[19:39:25.550] poll_receive_fail
[19:39:25.551] 0
[19:39:25.559] poll_receive_fail
[19:39:25.559] 0
[19:39:25.567] poll_receive_fail
[19:39:25.568] 0
[19:39:25.575] range_confirm_sent
[19:39:25.576] 1
[19:39:25.584] poll_receive_fail
[19:39:25.585] 0
[19:39:25.592] poll_receive_fail
[19:39:25.593] 0
[19:39:25.601] poll_receive_fail
[19:39:25.602] 0
[19:39:25.608] poll_receive_fail
[19:39:25.608] 0
[19:39:25.617] poll_receive_fail
[19:39:25.619] 0
[19:39:25.625] poll_receive_fail
[19:39:25.626] 0
[19:39:25.633] range_confirm_sent
[19:39:25.634] 1
[19:39:25.641] poll_receive_fail
[19:39:25.642] 0
[19:39:25.650] poll_receive_fail
[19:39:25.650] 0
[19:39:25.658] poll_receive_fail
[19:39:25.659] 0
[19:39:25.667] poll_receive_fail
[19:39:25.668] 0
[19:39:25.675] poll_receive_fail
[19:39:25.676] 0
[19:39:25.684] poll_receive_fail
[19:39:25.686] 0
[19:39:25.700] final_receive_fail
[19:39:25.701] 0
[19:39:25.707] poll_receive_fail
[19:39:25.708] 0
[19:39:25.716] poll_receive_fail
[19:39:25.717] 0
[19:39:25.725] poll_receive_fail
[19:39:25.726] 0
[19:39:25.733] poll_receive_fail
[19:39:25.734] 0
[19:39:25.742] poll_receive_fail
[19:39:25.743] 0
[19:39:25.751] poll_receive_fail
[19:39:25.752] 0
[19:39:25.756] range_confirm_sent
[19:39:25.757] 1
[19:39:25.765] poll_receive_fail
[19:39:25.766] 0
[19:39:25.774] poll_receive_fail
[19:39:25.775] 0
[19:39:25.783] poll_receive_fail
[19:39:25.785] 0
[19:39:25.791] poll_receive_fail
[19:39:25.791] 0
[19:39:25.800] poll_receive_fail
[19:39:25.801] 0
[19:39:25.808] poll_receive_fail
[19:39:25.809] 0
[19:39:25.816] range_confirm_sent
[19:39:25.817] 1
[19:39:25.825] poll_receive_fail
[19:39:25.825] 0
[19:39:25.833] poll_receive_fail
[19:39:25.834] 0
[19:39:25.842] poll_receive_fail
[19:39:25.843] 0
[19:39:25.851] poll_receive_fail
[19:39:25.852] 0
[19:39:25.859] poll_receive_fail
[19:39:25.860] 0
[19:39:25.868] poll_receive_fail
[19:39:25.868] 0
[19:39:25.880] range_confirm_sent
[19:39:25.883] 1
[19:39:25.889] poll_receive_fail
[19:39:25.890] 0
[19:39:25.895] poll_receive_fail
[19:39:25.896] 0
[19:39:25.905] poll_receive_fail
[19:39:25.905] 0
[19:39:25.913] poll_receive_fail
[19:39:25.914] 0
[19:39:25.922] poll_receive_fail
[19:39:25.923] 0
[19:39:25.930] poll_receive_fail
[19:39:25.931] 0
[19:39:25.939] range_confirm_sent
[19:39:25.941] 1
[19:39:25.947] poll_receive_fail
[19:39:25.948] 0
[19:39:25.956] poll_receive_fail
[19:39:25.957] 0
[19:39:25.964] poll_receive_fail
[19:39:25.965] 0
[19:39:25.973] poll_receive_fail
[19:39:25.974] 0
[19:39:25.982] poll_receive_fail
[19:39:25.984] 0
[19:39:25.990] poll_receive_fail
[19:39:25.992] 0
[19:39:26.005] final_receive_fail
[19:39:26.006] 0
[19:39:26.014] poll_receive_fail
[19:39:26.015] 0
[19:39:26.018] poll_receive_fail
[19:39:26.018] 0
[19:39:26.026] poll_receive_fail
[19:39:26.027] 0
[19:39:26.031] poll_receive_fail
[19:39:26.031] 0
[19:39:26.040] poll_receive_fail
[19:39:26.040] 0
[19:39:26.049] poll_receive_fail
[19:39:26.050] 0
[19:39:26.065] final_receive_fail
[19:39:26.067] 0
[19:39:26.074] poll_receive_fail
[19:39:26.076] 0
[19:39:26.083] poll_receive_fail
[19:39:26.084] 0
[19:39:26.092] poll_receive_fail
[19:39:26.092] 0
[19:39:26.100] poll_receive_fail
[19:39:26.101] 0
[19:39:26.109] poll_receive_fail
[19:39:26.110] 0
[19:39:26.117] poll_receive_fail
[19:39:26.118] 0
[19:39:26.129] final_receive_fail
[19:39:26.130] 0
[19:39:26.138] poll_receive_fail
[19:39:26.139] 0
[19:39:26.147] poll_receive_fail
[19:39:26.148] 0
[19:39:26.155] poll_receive_fail
[19:39:26.156] 0
[19:39:26.164] poll_receive_fail
[19:39:26.165] 0
[19:39:26.173] poll_receive_fail
[19:39:26.173] 0
[19:39:26.181] poll_receive_fail
[19:39:26.183] 0
[19:39:26.190] range_confirm_sent
[19:39:26.191] 1
[19:39:26.199] poll_receive_fail
[19:39:26.200] 0
[19:39:26.208] poll_receive_fail
[19:39:26.209] 0
[19:39:26.216] poll_receive_fail
[19:39:26.217] 0
[19:39:26.225] poll_receive_fail
[19:39:26.226] 0
[19:39:26.234] poll_receive_fail
[19:39:26.235] 0
[19:39:26.242] poll_receive_fail
[19:39:26.243] 0
[19:39:26.248] range_confirm_sent
[19:39:26.250] 1
[19:39:26.257] poll_receive_fail
[19:39:26.258] 0
[19:39:26.266] poll_receive_fail
[19:39:26.267] 0
[19:39:26.274] poll_receive_fail
[19:39:26.274] 0
[19:39:26.282] poll_receive_fail
[19:39:26.283] 0
[19:39:26.291] poll_receive_fail
[19:39:26.292] 0
[19:39:26.300] poll_receive_fail
[19:39:26.302] 0
[19:39:26.308] range_confirm_sent
[19:39:26.309] 1
[19:39:26.317] poll_receive_fail
[19:39:26.321] 0
[19:39:26.325] poll_receive_fail
[19:39:26.325] 0
[19:39:26.334] poll_receive_fail
[19:39:26.335] 0
[19:39:26.342] poll_receive_fail
[19:39:26.343] 0
[19:39:26.351] poll_receive_fail
[19:39:26.352] 0
[19:39:26.360] poll_receive_fail
[19:39:26.360] 0
[19:39:26.372] final_receive_fail
[19:39:26.373] 0
[19:39:26.381] poll_receive_fail
[19:39:26.381] 0
[19:39:26.389] poll_receive_fail
[19:39:26.390] 0
[19:39:26.398] poll_receive_fail
[19:39:26.399] 0
[19:39:26.407] poll_receive_fail
[19:39:26.408] 0
[19:39:26.415] poll_receive_fail
[19:39:26.418] 0
[19:39:26.423] poll_receive_fail
[19:39:26.425] 0
[19:39:26.430] range_confirm_sent
[19:39:26.430] 1
[19:39:26.438] poll_receive_fail
[19:39:26.439] 0
[19:39:26.446] poll_receive_fail
[19:39:26.448] 0
[19:39:26.456] poll_receive_fail
[19:39:26.457] 0
[19:39:26.465] poll_receive_fail
[19:39:26.467] 0
[19:39:26.473] poll_receive_fail
[19:39:26.474] 0
[19:39:26.483] poll_receive_fail
[19:39:26.484] 0
[19:39:26.488] range_confirm_sent
[19:39:26.489] 1
[19:39:26.497] poll_receive_fail
[19:39:26.498] 0
[19:39:26.506] poll_receive_fail
[19:39:26.506] 0
[19:39:26.514] poll_receive_fail
[19:39:26.518] 0
[19:39:26.523] poll_receive_fail
[19:39:26.523] 0
[19:39:26.531] poll_receive_fail
[19:39:26.533] 0
[19:39:26.540] poll_receive_fail
[19:39:26.545] 0
[19:39:26.547] range_confirm_sent
[19:39:26.547] 1
[19:39:26.555] poll_receive_fail
[19:39:26.555] 0
[19:39:26.564] poll_receive_fail
[19:39:26.566] 0
[19:39:26.572] poll_receive_fail
[19:39:26.573] 0
[19:39:26.581] poll_receive_fail
[19:39:26.581] 0
[19:39:26.590] poll_receive_fail
[19:39:26.590] 0
[19:39:26.598] poll_receive_fail
[19:39:26.599] 0
[19:39:26.613] final_receive_fail
[19:39:26.613] 0
[19:39:26.621] poll_receive_fail
[19:39:26.629] 0
[19:39:26.630] poll_receive_fail
[19:39:26.630] 0
[19:39:26.637] poll_receive_fail
[19:39:26.638] 0
[19:39:26.646] poll_receive_fail
[19:39:26.646] 0
[19:39:26.654] poll_receive_fail
[19:39:26.655] 0
[19:39:26.663] poll_receive_fail
[19:39:26.664] 0
[19:39:26.677] final_receive_fail
[19:39:26.678] 0
[19:39:26.686] poll_receive_fail
[19:39:26.687] 0
[19:39:26.694] poll_receive_fail
[19:39:26.694] 0
[19:39:26.703] poll_receive_fail
[19:39:26.703] 0
[19:39:26.711] poll_receive_fail
[19:39:26.712] 0
[19:39:26.720] poll_receive_fail
[19:39:26.721] 0
[19:39:26.728] poll_receive_fail
[19:39:26.729] 0
[19:39:26.734] range_confirm_sent
[19:39:26.735] 1
[19:39:26.742] poll_receive_fail
[19:39:26.743] 0
[19:39:26.751] poll_receive_fail
[19:39:26.752] 0
[19:39:26.760] poll_receive_fail
[19:39:26.760] 0
[19:39:26.769] poll_receive_fail
[19:39:26.770] 0
[19:39:26.777] poll_receive_fail
[19:39:26.778] 0
[19:39:26.786] poll_receive_fail
[19:39:26.787] 0
[19:39:26.801] final_receive_fail
[19:39:26.803] 0
[19:39:26.809] poll_receive_fail
[19:39:26.810] 0
[19:39:26.818] poll_receive_fail
[19:39:26.819] 0
[19:39:26.827] poll_receive_fail
[19:39:26.827] 0
[19:39:26.835] poll_receive_fail
[19:39:26.836] 0
[19:39:26.844] poll_receive_fail
[19:39:26.844] 0
[19:39:26.853] poll_receive_fail
[19:39:26.853] 0
[19:39:26.858] range_confirm_sent
[19:39:26.859] 1
[19:39:26.867] poll_receive_fail
[19:39:26.867] 0
[19:39:26.876] poll_receive_fail
[19:39:26.877] 0
[19:39:26.885] poll_receive_fail
[19:39:26.886] 0
[19:39:26.893] poll_receive_fail
[19:39:26.894] 0
[19:39:26.902] poll_receive_fail
[19:39:26.903] 0
[19:39:26.910] poll_receive_fail
[19:39:26.911] 0
[19:39:26.917] range_confirm_sent
[19:39:26.917] 1
[19:39:26.925] poll_receive_fail
[19:39:26.926] 0
[19:39:26.933] poll_receive_fail
[19:39:26.934] 0
[19:39:26.941] poll_receive_fail
[19:39:26.942] 0
[19:39:26.950] poll_receive_fail
[19:39:26.951] 0
[19:39:26.958] poll_receive_fail
[19:39:26.959] 0
[19:39:26.968] poll_receive_fail
[19:39:26.970] 0
[19:39:26.974] range_confirm_sent
[19:39:26.974] 1
[19:39:26.983] poll_receive_fail
[19:39:26.984] 0
[19:39:26.992] poll_receive_fail
[19:39:26.992] 0
[19:39:27.000] poll_receive_fail
[19:39:27.001] 0
[19:39:27.003] poll_receive_fail
[19:39:27.004] 0
[19:39:27.011] poll_receive_fail
[19:39:27.012] 0
[19:39:27.020] poll_receive_fail
[19:39:27.020] 0
[19:39:27.029] poll_receive_fail
[19:39:27.030] 0
[19:39:27.034] range_confirm_sent
